id,type,text1,text2,text3,text4,notes
,,,,,,
FM_Puppeteer,SHIP,"轻盈快速而优雅的小型航母，拥有两个标准飞行甲板和对应的整备设施以及优质的护盾，在所有距离上都能组织起足够的舰载机进行作战，并同时具有能减少对手反抗的能力。

完全不同于赶牛人和秃鹰等星域常见的航母，傀儡师具有相当优雅的流线型外表与锦上添花的空气动力学设计。若是以人来形容其外表气质，或许只有用少女一词才能完美的将这一切表达。而另一方面，作为兵器的傀儡师-级在杀戮方面更是干净利落，尤其是结合了结界内侧技术用以干扰反制敌方}PD}武器的战术系统与内置的特殊化插件，这二者的组合令她能在近距离上指挥舰载机轻松撕碎目标。

尽管各种迹象表明这个结界内侧深度参与合作的设计在许多方面，例如内置插件上，似乎对飞行员等甚至舰船指挥官有着相当的负面精神影响，但仍然有相当多的船员乐于在这一型舰船上服役。也许正因为如此，流行文艺作品当中傀儡师的舰载辅助}AI}常常被描绘成对某人具有病态的执着以至于对其施加精神干扰的少女。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Aya,SHIP,"幻想工造小型舰船的典范，将优异的机动性能和灵活但数量较少的武器阵列与无人机中队相结合，加上在短时间内如风神般从相位空间疾行而过程度的特殊能力。使其在面对所有类型的敌人时都具有一战之力。

在对扩展纪元突袭学说的进一步发展与不可避免地一些离经叛道之后，结合了少量相位技术建造而成。文-级牺牲了不少的装甲防护与结构强度，换来了驱逐舰级别中罕见的高速高机动。同时依照幻想工造本身的理论，依靠无人机补充了持续性火力。而且不同于被嘲笑为”玻璃大炮”的诸多扩展纪元舰船，其本身的能源系统和护盾仍足以支撑其与更强大的敌人周旋，加上本质上能够保证随时撤退的战术系统，即便是经验不甚丰富的船员也能多多少少的发挥出该舰的能力。

文-级对于当代幻想工造舰队学说的形成同样至关重要，尽管实际上设计于幻想工造暴露之前，但基于她的作战经验确实证明了持续火力压制设想和不依靠大量小型槽位执行}PD}任务的可能性。也正是因为这样重要的历史地位和相对简洁干净的形象，她的投影常常被作为幻想工造舰船的非官方标识。

在文艺作品中，尽管不如那些常常作为主角坐舰的更神秘先进的舰船，她的出场率仍然相当之高。”毕竟有谁不喜欢帅气的小乌鸦呢?”

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Miko,SHIP,"在星域中所能找到的最珍贵的量产驱逐舰之一，集成了灵基框架的二色蝶有着超出大部分幻想工造舰船的武器适应性和相对传统的高机动性能，这种非典型的设计让其在执行高危任务时如鱼得水。

始于一个基于结界内灵能科技的跃迁系统改进项目，在近乎令好几个结界外侧的工程师精神失常之后被大部分转交结界内侧开发。尽管最初外界方面仍然对此安排抱有相当的不信任，但当其最终设计完成时，几乎所有人都被其令人惊叹的性能所震惊，怀疑与反对的声音也烟消云散。

同时和扩展纪元设计中那些不顾船员生活质量而强行采用尖端技术的舰体不同，二色蝶虽然和大部分结界内侧大量参与设计的舰船一样具有匪夷所思的内部结构，但大多数船员仍然能够相对安心的于这型舰船上保持正常的精神状态任务。不过另一方面，或许是由于灵基框架的某些神秘作用，部二色蝶-级的成员经常会报告他们见到了一系列不可思议的事情。其中最有名的莫过于据传于 193 年发生在 Blazing Hell 附近，一颗预定将撞击地表的大型小行星和当时正在进行早期测试的二色蝶级原型舰突然发生了某种共鸣现象，导致其轨道偏转避免了撞击。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Witch,SHIP,"为追求火力的极限而设计，她是如此脆弱又如此致命，以至于被认为是幻想工造版本的超级弹涂鱼MK2。

由结界内侧负责武器系统与外形，外界负责战术系统，能源核心和航电设备，带有明显的结界内外合作项目特征，侧重打击能力的驱逐舰。也正是这个原因使得其反舰武装配置上无论怎么处理都相当激进，战术系统虽然保守却总是相对有效。

然而，尽管外界方面竭尽全力为她安装了还算不错的护盾和幅能系统，但由于结界内侧在武装与外观设计等事情上花费了过多的预算，这艘舰船在战斗中仍然容易在导弹打光之后暴毙，真是可怜的孩子呢...

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Konpaku,SHIP,"体积较大但十分迅捷的轻型巡洋舰设计，拥有令人印象深刻的能量武器阵列，可爱但是危险的无人机，和相当高效的常规引擎，在猎杀小型目标的任务上有着独到的价值。

魂魄-级是一个在研究学习了多个扩展纪元巡洋舰设计后，由几个来自结界内侧看起来不大像人类的工程师发散思维建造出原型，再最终由外界的几个年轻技术员调校而成的奇怪设计。虽然总体符合幻想工造的持续火力理论，但其主要角色仍然与传统的扩展纪元轻型巡洋舰有所重合: 依靠强大的能源系统和机动能力配合多用途的能量武器压制敌方轻型舰船。但是若对二者进行对比，魂魄-级缺乏爆发杀伤的负面作用就会相当明显了，面对真正的重型单位时往往只能凭借机动性和能源系统自保而不能主动发起反击。

或许是由于常常作为轻装舰队旗舰解决小规模冲突而出现在公众视野当中，具有简洁干净外貌的魂魄在一般民众当中具有相当高的知名度。因此魂魄常常能在通信网络上一些奇怪的人气投票中拿到第一，甚至有传言表明，魂魄在海盗和左径分子内部的一些类似活动中也极具人气。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Satori,SHIP,"尽管常常担任辅助与支援任务，觉本质上是一种多用途巡洋舰，灵活的武器阵列使得其无论在大小规模的战斗中都能充分的发挥作用。

作为少数在幻想工造暴露前便已经设计完成的大型舰船之一，觉-级在一定程度上也是一个预算奇迹。在大部分资金被用于经济建设和小型舰船设计的情况下，主要由外界人员组成的设计团队通过从结界内侧挖掘人之领时代技术遗物等手段，成功的用略显不足的资金的使她的基础性能达到了预期之上。另一方面，由于得到了结界内侧的个人与民间组织的大力支持，觉-级的战术系统和内置模块开发的也相当顺利。(虽然中途还是令不少外界参与者受到了不同程度的暂时性精神伤害)

在暴露之后日子里，觉-级一直担任有支援轻装舰队打击海盗和左径分子的任务，或许是由于其战术系统的威慑力，对她的恐惧如今已是地下世界的常态了。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Yagokoro,SHIP,"幻想工造舰队中无可争议的顶级舰船，灵活而高效的多用途主力舰，但想要充分发挥其能力，必须要有一个足够优秀的指挥官。

虽然在幻想工造暴露之前，大部分的研发资金都被投入了小型舰船的开发，但八意-级作为重新暴露时的应急预案，还是获得了足够的资源以坚持缓速开发，也正是因为这个条件，再接触之前该舰的大部分结构均已设计完成。而真正的暴露与再接触发生之后，该项目便顺理成章的得到了最高的优先级并得以快速实战化。

从设计上来看，八意在一定程度上继承了扩展纪元学说的大型航母与舰载机集中应用理论，同时吸收了一些典型的战列舰元素。这种混合式的设计加上源自结界内侧的先进辅助}AI}和被称为无尽长廊的超大型的广域位移装置，赋予了八意顶尖的实用性。

就像结界内侧所流传的故事那样，如今的八意也主要担任着防御与守卫重要目标的任务。而在文艺创作当中，八意-级的指挥官和辅助}AI}则一直被描绘成睿智的长者。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Miracle,SHIP,"以正面火力和持续压制能力见长的典型幻想工造舰船，具有与其数据不相符合的强大韧性和多样化的战术应用，并且似乎具有创造奇迹程度的能力。

奇迹-级的最初设计几乎与外界无关，毕竟原本她就是作为结界内侧民间组织设计的民用货船而稳健的开发着的。这是一种不安装护盾，仅利用被称为”奇迹之东风”的特殊战术系统保护自身，执行快速航运任务的模块化运输船。但是随着暴露事件的发生，官方开始四处搜索可改用的设计，由于原设计中用于代替护盾的”奇迹之东风”系统不合乎常识的优异表现，奇迹项目很快便被完全的军事化。

得益于先前模块化的设计，奇迹-级足以安装当时幻想工造最为先进的能源系统以及配套的武器阵列，而保留下来的结界内侧参与者则再次对其动力系统和外形进行了优化。最终，这样一型不合常理但是有着独特幻想感的舰船加入到了幻想工造的舰队之中，不断地创造着新的奇迹。

为了纪念这一奇迹般的开发过程，所有的奇迹-级都在特定位置涂装了原先民间组织的简化标志。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Byakuren,SHIP,"介于战列巡洋舰和战列舰之间的一型舰船，拥有相当强大的持续火力和对主力舰来说相当不错的机动性能，只是目前而言仍然无法称为超人。

真正能够代表当代幻想工造战术理论的新锐舰船，拥有充足的持续火力和相对灵活的装配方案，其舰体结构紧凑，防御能力则主要依靠其高效的护盾和自身机动性能。但从后勤的角度来说，造价昂贵难以维护的白莲明显不适合大规模建造使用。更不用说白莲本身对于指挥官和船员的素质需求相当之高。于是种种因素组合在一起，使得这种舰船在幻想工造舰队中相对少见。

不过无论如何，当白莲-级以迅雷之势冲垮敌方阵线，在近距离倾泻火力的时候，种种反对也就变得无关紧要了。毕竟大家的圣人有更重要的事情要去做。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Nightbird,SHIP,"有一定程度上的致盲能力的高速电子攻击舰，在支援辅助大型舰船和反制导弹时具有相当的效率，不过这并不意味着她不能以常规舰船的姿态参与小规模战斗。

尽管与幻想工造官方最初设想的，拥有坚韧防御性能的电子攻击舰相比，夜雀的形象几乎是完全不同的，但在夜雀设计团队反复修改和调整之下，她最终以另一种形式达成了原有的要求: 通过极大幅度的削减正规装甲和大规模使用低成本复合材料，让夜雀具备了令人望尘莫及的航速与机动性。多套备用系统和自动化损害管制让该舰几乎能在完全丧失装甲保护的情况下执行任务，而作为其核心的定点ECM系统也能够在相对远的距离上对处理危险的导弹。在这样的舰体设计下，其韧性可想而知。

另一方面，传言当中夜雀项目也伴随着一个奇妙的浪漫故事。不过因为保密条例等遗憾的存在，具体情节如何就只能任君想象了。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Loupgarou,SHIP,"幻想工造设计中少数真正的支援舰船，真正意义上的弹幕武库。

虽然在立项之初狼人-级并未被设计成为一种搭载大量导弹武器的支援舰船，但随着幻想工造舰队现代化进程的展开，几乎所有的狼人-级都被改装成为了如今的这副模样。然而，尽管进行了如此大刀阔斧的改造，现代的狼人-级仍与早期型号一样质朴可靠，毕竟在这个导弹横行的星域当中，想要保护友军最好的方法就是用更多的导弹抢先击败敌人...

其可靠战友般的表现也影响了相关的文艺创作中狼人-级乘员的形象。他们普遍被描绘成忠厚老实，重视友人的形象，而这一点在结界内侧的创作中尤为流行。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Hearn,SHIP,"一个十分不同寻常的巡洋舰设计，其战术系统和内置模块都大幅强化了空间优势战机的作战效率，同时自身也具备足够的火力直接作战。

虽然明面上是作为幻想工造舰队学说中对舰队防空与制空作战的巡洋舰级解决方案，赫恩-级在实战当中更常担任的仍是反舰作战任务。由二色蝶-级项目的灵能跃迁系统改制而来的舰载机折跃系统使她能够轻松的将大部分舰载机完好无损的直接传送至敌舰周边造成杀伤。而其自身也具备了基本等同常规驱逐舰的直接火力和相对优秀的能源系统，这足以支持其进行防空和反舰作战。种种因素叠加在一起，令赫恩成为了在中小规模战斗中最令人印象深刻的存在之一。

然而，作为一种由结界内侧主导开发的舰船，赫恩-级的内部结构和战术系统仍然保持着一贯的匪夷所思。虽然并不像其他一些设计有着破坏乘员精神状态的传言，但从统计数据来看，尽管迄今为止并未对任何人造成任何真正严重精神损伤，在赫恩-级上服役的经历确实会提高个人的精神敏感程度。

另外，种种迹象表明，该型舰船受到了更加复杂的模因污染，她的别名”境界学者”很好的证明了这一点...",,,,
,,,,,,
FM_Rumia,SHIP,"融入灵基框架设计的新一代舰船代表，但由于幻想工造对相位舰船的重视不足加上新型舰船本身较低的产量而有些少见。

虽说设计时是直接照搬扩展纪元的相位舰船使用方针作为指导方案，但幻想工造那诡异的技术应用方式最终让该舰变为了和主流相位舰船几乎完全不同的某种东西。

作为第一种整合了灵基框架的舰船，宵暗-级的战术系统设计相当天马行空。得益于灵基框架直接操纵灵能功能和灵子容器的存在，这个被称为暗辉十字的综合武器系统极其罕见的攻守兼备(但其巨大的空间占用也不可避免地导致了常规武器的缺乏)。而这种攻守兼备大大的提升了舰船的韧性，某种程度上弥补了相位舰船最大的短板。不过这同时也是造成她那相对同级相位舰船都略显烧钱的维护费用和诡异的保养难度的一个重大原因。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Reisen,SHIP,"专注于突袭与骚扰的驱逐舰，尽管正面作战时常常不占优势，但对于那些兼具勇敢与经验的舰长来说，其战术系统启动时残留的红色的幻影便是胜利的标志。

与结界内侧的技术合作在带来了新的战术思想的同时，也给了旧理论进一步完善与提升的机会。虽然设计于幻想工造舰队学说形成早期，但如以传统的扩展纪元学说角度来看，铃仙-级无疑是最为完美的小型舰船: 基于灵能跃迁技术的精准闪现将”出其不意”这一核心思想直接固化进入了舰船本身。再加上能量武器为主的火力配置和一如既往的高机动性能，便不得不承认铃仙与传统扩展纪元舰船的差别有时甚至要小于和其他幻想工造设计的差别。

但另一方面，从即便多次改进加厚过仍然脆弱的装甲与结构到并不太足够用于正面作战的火力，旧理论的缺陷在铃仙身上也体现的相当明显。因此总体来说，要驾驭好这样一艘舰船，仍然需要更加丰富的经验与勇气。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Baize,SHIP,"历史与知识的代名词，以古老的瑞兽命名，白泽常常奔走于外环星域，寻找着每一丝可能的希望。

与星域中常见的民用舰船不同，白泽并不是为了运输军事补给或民生资源而生的。她被设计出来，是为了发现与传递知识，当下星域中最为宝贵的东西之一。从遗弃舰残破的数据芯片，到被掩埋于尘土之中仅剩躯壳的技术原型，乃至星系角落中休眠的探测器，白泽的任务就是将这一切可能含有大崩塌前技术信息甚至缺失的基础科学内容的实体带回给那些仍然保留着文明的世界，以期望能多少改变现状。

基于以上的要求，白泽的货舱与燃料罐设计更偏向于自持与保障小型舰队。同时，考虑到对大气内探索的需求与外环令人担忧的治安状况，白泽还配备了一个足以支持标准舰载机}LPC}的飞行甲板。但是，在集成了如此多的功能性设备之后，驱逐舰级别的舰体已经不允许再安装更多的自卫武器了。因此尽管拥有相对不错的护盾防护系统，白泽也无法在面对那些灵活而危险的敌人时得到优势。

对于那些曾经丰饶充满生机而如今已文明崩溃的世界来说，白泽的出现往往是文明与秩序回归的前兆。

和其他幻想工造舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Bazhiwu,SHIP,"极端的打击舰船，异想天开的在护卫舰上安装了大型能量武器插槽并配备了完全足够的耗散设备以及还算不错的防护，某种意义上算是相当的强大护卫舰。

在结界内外的的代表们为新一代护卫舰的设计扯皮了相当长一段时间之后的最终产物。八咫乌的设计将常规的被动防护与幻想风格的武器系统以一种看起来还不算太坏的方式缝合在了一起。但其优异性能的背后则是倒霉的设计团队被迫超负荷工作的事实。毕竟将大型武器槽位，结界内侧提供的古怪的反应堆，以及为了保证性能而不得不安装的精密电子设备等协调一致，远比想象当中的困难。不过由实战来看，八咫乌证明了该团队的天才。

和其他幻想工造舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Bibliophilia,SHIP,"又一种诡异的极端化设计，强调生存性能高于一切，因此具有整个星域中极为罕见的先进护盾与独特幅能系统设计。不过这一切优势所带来的安全感不知为何常常让该舰的指挥官得意忘形而不断作死，最终被愤怒的海盗与左径揍成半残(舰船)。

对于防御型护卫舰的设计与战术应用等问题，幻想工造学院内部核心纪元设计与扩展纪元设计各自的支持者们曾经为此进行过相当的辩论甚至大打出手。秉持着实践精神的双方互相无法说服，而这给了正在寻求新型安保舰船的幻想工造舰队一个完美的机会。随后，两拨生机勃勃的小团体以某种诡异的方式被凑在了一起完成了一个新项目。其成果便是这艘火力看起来和穿梭机一般但防护能力令人望尘莫及的怪异舰船。

得益于一些小把戏和保密工作的成功，舰队方面成功的令两方都相信仅有自己受到了支持，在预算方案上占尽了优势。虽然在最后的系统整合时，负责战术系统的核心纪元支持者和负责舰体与护盾系统设计的扩展纪元支持者最终发现了这些充满槽点的投机举动，但两个团队设计整合后奇迹般的协调性还是让大家迅速的都放下了不满，"可喜可贺，可喜可贺"。

和其他幻想工造舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Persuasion,WEAPON,"幻想中的针刺，主要用于压制护盾的仿针刺类脉冲武器，附带有聊胜于无的能源回收系统用于在某些时候将提供压制 PD 的辅助工具。

别名信仰之针，据称是为了纪念传说中英雄的武器。",反护盾,"""有人能解释一下这些彩色的东西是...""",,
,,,,,,
FM_SkySerpent_M,WEAPON,"拥有高载弹量和高装填速率的压制导弹仓，能够高效的抹除大型舰船的装甲并造成相当的困扰。

对旧式反装甲导弹的不满，加上几个结界内侧工程师的奇思妙想，最终造就了这样一种诡异但有效武器。

这种具有惊人灵活性的导弹并未安装有常规弹头，而是采用了一组特殊的一次性粒子加速器。在目标进入杀伤范围后，预装的高穿透性反装甲粒子将以一定规律释放加速，从两侧打击目标装甲。

有趣的是，尽管作为主要用户的幻想工造并不怎么觉得这种导弹高效，但那些海盗和卢德左径们却常常被这种小玩意弄得十分恼火。",反装甲,,,
,,,,,,
FM_SkySerpent_S,WEAPON,"具有广阔杀伤范围的反装甲导弹发射架，对大型舰船相当高效，并具有较高的载弹量用于持续作战。

对旧式反装甲导弹的不满，加上几个结界内侧工程师的奇思妙想，最终造就了这样一种诡异但有效武器。

这种具有惊人灵活性的导弹并未安装有常规弹头，而是采用了一组特殊的一次性粒子加速器。在目标进入杀伤范围后，预装的高穿透性反装甲粒子将以一定规律释放加速，从两侧打击目标装甲。

有趣的是，尽管作为主要用户的幻想工造并不怎么觉得这种导弹高效，但那些海盗和卢德左径们却常常被这种小玩意弄得十分恼火。",反装甲,,,
,,,,,,
FM_Seal,WEAPON,"尽管名称十分诡异且工作原理对一般使用者难以理解，这款能够发射具备一定程度自导能力弹幕的特种等离子炮所具备强大的远程攻击能力在很大程度上弥补了不少星域普通武器的空缺。

许许多多的都市传说爱好者热衷于研究召灵仪的制导能力是从何而来的，不过到目前为止，大部分的解释设想都因为比官方描述更加神棍而难以被广泛接受。",远程支援,,,
,,,,,,
FM_DesireAccelerator,WEAPON,"同样令人费解的远距离支援武器，能在极远的距离上投射具备相当威胁的自导能量束，然而其高昂的不成比例的幅能代价总是让人望而却步。

尽管整体的运作过程与星域中常规的冲击波类武器相差不多，但由于在将等离子体化的高能介质导向发射前的最后一步经历了一些灵能处理，使得这种武器射出的弹头具备有自导性能。

于是基于这一点和其令人浮想联翩的命名，欲望加速器也和很多幻想工造武器一样拥有属于自己的都市传说。",远程支援,,,
,,,,,,
FM_LunaticBow,WEAPON,"正如字面意思是一具电磁长弓，用类似高斯炮的原理发射幻想工造的特殊箭形弹，这种集成了跃迁技术的弹药在命中后将于对应位置折跃能量空雷并引爆，在心理震慑上十分有用。尽管如此，其仍然不能对更重型的装甲造成足够的威胁。

其名可能源自结界内侧的某种传说，主要内容是关于""月之民""和""地上污秽""的故事。",远程打击,,,
,,,,,,
FM_Spark_pd,WEAPON,"火花系列光束武器的最小版本，拥有相对瞬发 PD 更大的电容和更小的单次杀伤力，同时强化了射程。

无论怎么看都是一个相当朴实无华的小型 PD 光束，但因为使用了少量灵能技术来提升电容器效率，在发射时似乎具有提升舰船船员的安全感等玄妙的作用。

即便不相信这些，她独特的发射声效仍然能在战斗中给予疲劳的船员一定的安抚效果。",点防御,,,
,,,,,,
FM_Spark_heavy,WEAPON,"更大一号的火花光束，同样是一种爆发武器，虽然幅能效率还算优秀，但它的电容需要长时间的充能，且反装甲能力更加低下。

许多人都认为这款武器是对相位长矛的一种革命性升级版本，在保留了一定的单轮杀伤性能下拥有了更远的射程和更灵活的电容系统，但事实上，这是对反装甲能力做出了极大妥协而换来的。不过，对于各种小型舰船之间的战斗，这一点也不是缺陷。",普通,,,
,,,,,,
FM_Masterspark,WEAPON,"无与伦比的中距光束武器，尽管幅能糟糕，作为星域最强火力之一仍然不可小视。

完全的依靠输出功率解决一切的武器，只要对准敌人并发射便能起到很好的效果了。

这个特别内置于魔女级驱逐舰的版本附带有特殊的反应堆设计。",压制,,,
,,,,,,
FM_IllusionLaser_S,WEAPON,"尽管具备较远的射程，这种小型幻象激光并不像它的大号同类一样是优秀的反装甲武器。

在武器设计时将炮塔与光学系统设计完全的交给了结界内侧人士所造成的后果就是其光束难以集中伤害，不过由于其能源回路的优良设计，使得这款武器最终仍然进入了服役序列。

",普通,,,
,,,,,,
FM_IllusionLaser_M,WEAPON,"虽然不能集中所有光束，但她所提供的输出功率已经远比战术激光炮和引力子束高了，在反制装甲方面表现优异。

在迷你幻象激光遭到屡次投诉之后的改良产品，拥有更加实用化的光学系统并保留了原先杰出的能源系统设计，并且与其结界内部的原型设计一样擅长近距离作战。",远程支援,,,
,,,,,,
FM_IcicleFall,WEAPON,"标准的反舰脉冲武器，能以较高的速率不断投射部分离子化的能量束，但这一特性总会导致所发射的能量束弹道乃至本体都相当不稳定... 

这款负有盛名的多用途脉冲武器采用了相当传统的方式运作: 通过对气体状态的弹药使用高频激光脉冲激发为不稳定的状态之后，由加速器简单射出。然而由于所使用的气体弹药和脉冲发生器都相当非常规，导致能量束内部成分在飞行过程中往往会随着时间开始互相作用导致弹头解体分裂。不过由于实际作战中仍能达到甚至超过最大射程并命中目标，这种奇异的组合反倒给予了这款武器更多的可能性。",普通,,,
,,,,,,
FM_Hailstorm,WEAPON,"用于中距作战的改进脉冲武器，具备更强的爆发火力。同样通过传统方式发射混合能量束，唯一的问题也许就是充能系统的不稳定。

在进一步的研究与分析了冰瀑脉冲的特性后全新研发出的产品，能量束终于能不那么愚蠢的以奇异的方式分裂而无法命中了，但是相对的代价是能源需求量的大幅度提升...",普通,,,
,,,,,,
FM_Blade_ac,WEAPON,"十分通用且相当暴力的非典型能量炮，其虚刃之名来自于其弹头接近最大射程时完全展开而降低反装甲能力的现象。

从各种意义上说，将如此巨大的能量输出融合进入一款中型能量武器，本身就是十分匪夷所思的，但更令人震惊的则是其可怕的能量效率。然而，不知是由于能量束内粒子的相互作用的原因还是其他，其发射的弹头总是会在较远的距离上解体展开成大量相互独立的次级弹幕。
",通用,,,
,,,,,,
